,Вакансия,link,salary_min,salary_max,salary_cur,web-site,keyword
178,Разработчик автоматизированных решений (JS/PHP),https://www.hh.ruhttps://hh.ru/vacancy/37649429?query=Python,25000.0,50000.0,руб.,www.hh.ru,Python
179,Web Penetration tester,https://www.hh.ruhttps://hh.ru/vacancy/37613270?query=Python,,,,www.hh.ru,Python
180,Системный администратор,https://www.hh.ruhttps://hh.ru/vacancy/37534760?query=Python,100000.0,150000.0,руб.,www.hh.ru,Python
181,Ruby on Rails developer,https://www.hh.ruhttps://hh.ru/vacancy/37326648?query=Python,80000.0,220000.0,руб.,www.hh.ru,Python
182,Аналитик SQL,https://www.hh.ruhttps://hh.ru/vacancy/37227307?query=Python,,,,www.hh.ru,Python
183,Руководитель проектов по разработке ПО,https://www.hh.ruhttps://hh.ru/vacancy/37640801?query=Python,120000.0,180000.0,руб.,www.hh.ru,Python
184,QA инженер,https://www.hh.ruhttps://hh.ru/vacancy/36711867?query=Python,,,,www.hh.ru,Python
185,Machine Learning Research Engineer / Инженер отдела исследований и разработок,https://www.hh.ruhttps://hh.ru/vacancy/36818130?query=Python,,,,www.hh.ru,Python
186,Ведущий инженер по автоматизированному тестированию (frontend),https://www.hh.ruhttps://hh.ru/vacancy/37373784?query=Python,,,,www.hh.ru,Python
187,Разработчик 1С Битрикс,https://www.hh.ruhttps://hh.ru/vacancy/37425280?query=Python,,,,www.hh.ru,Python
188,WebTutor разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37373782?query=Python,,,,www.hh.ru,Python
189,Middle Unity Developer (C#),https://www.hh.ruhttps://hh.ru/vacancy/37402868?query=Python,50000.0,100000.0,руб.,www.hh.ru,Python
190,Специалист технической поддержки,https://www.hh.ruhttps://hh.ru/vacancy/37413266?query=Python,,,,www.hh.ru,Python
191,Инженер отдела клиентской поддержки L2,https://www.hh.ruhttps://hh.ru/vacancy/37319884?query=Python,,,,www.hh.ru,Python
192,Инженер технической поддержки,https://www.hh.ruhttps://hh.ru/vacancy/37534634?query=Python,30000.0,50000.0,руб.,www.hh.ru,Python
193,DevOps Developer,https://www.hh.ruhttps://hh.ru/vacancy/37362834?query=Python,,,,www.hh.ru,Python
194,Инженер по нагрузочному тестированию,https://www.hh.ruhttps://hh.ru/vacancy/35868505?query=Python,,,,www.hh.ru,Python
195,Аналитик,https://www.hh.ruhttps://hh.ru/vacancy/37636488?query=Python,,,,www.hh.ru,Python
196,Инженер (информационная безопасность),https://www.hh.ruhttps://hh.ru/vacancy/37393656?query=Python,,,,www.hh.ru,Python
197,Backend - разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37356315?query=Python,,,,www.hh.ru,Python
198,Разработчик (аналитик),https://www.hh.ruhttps://hh.ru/vacancy/37163584?query=Python,,,,www.hh.ru,Python
199,Frontend-разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37356296?query=Python,,,,www.hh.ru,Python
200,Аналитик,https://www.hh.ruhttps://hh.ru/vacancy/37563189?query=Python,,,,www.hh.ru,Python
201,Системный администратор,https://www.hh.ruhttps://hh.ru/vacancy/36854763?query=Python,,,,www.hh.ru,Python
202,"Дизайнер интерфейсов, UI/UX, Mobile, Web",https://www.hh.ruhttps://hh.ru/vacancy/37331885?query=Python,80000.0,120000.0,руб.,www.hh.ru,Python
